EquationID,Response Variable,Intercept,Coefficient1,Predictor1,Coefficient2,Predictor2,Coefficient3,Predictor3,Coefficient4,Predictor4,Coefficient5,Predictor5,Coefficient6,Predictor6,Coefficient7,Predictor7,Coefficient8,Predictor8,Coefficient9,Predictor9,Coefficient10,Predictor10,Coefficient11,Predictor11,Coefficient12,Predictor12,Coefficient13,Predictor13,Coefficient14,Predictor14,Coefficient15,Predictor15,Coefficient16,Predictor16,Coefficient17,Predictor17,Coefficient18,Predictor18,Coefficient19,Predictor19,Coefficient20,Predictor20,Coefficient21,Predictor21,Coefficient22,Predictor22,Coefficient23,Predictor23,Coefficient24,Predictor24,Coefficient25,Predictor25,Coefficient26,Predictor26,Coefficient27,Predictor27,Coefficient28,Predictor28,Coefficient29,Predictor29,Coefficient30,Predictor30,Coefficient31,Predictor31,Coefficient32,Predictor32,Coefficient33,Predictor33,Coefficient34,Predictor34,Coefficient35,Predictor35,Coefficient36,Predictor36,Coefficient37,Predictor37,Coefficient38,Predictor38,Coefficient39,Predictor39,Coefficient40,Predictor40,Coefficient41,Predictor41,Coefficient42,Predictor42,Coefficient43,Predictor43,Coefficient44,Predictor44,Coefficient45,Predictor45,EquationForm
1,Probability of Forest (Continuous),3.385655,-0.798222,tmean_scaled,4.745361,prcp_scaled,-0.497987,prcpTempCorr_scaled,0.227455,isothermality_scaled,-0.390513,clay_scaled,0.538571,coarse_scaled,-0.400598,AWHC_scaled,-0.83407,prcp_scaled^2,-0.948503,prcpTempCorr_scaled^2,0.194506,isothermality_scaled^2,-0.047727,clay_scaled^2,-0.2652,coarse_scaled^2,0.074389,AWHC_scaled^2,-0.290498,prcp_scaled*isothermality_scaled,-0.168006,tmean_scaled*isothermality_scaled,0.076255,tmean_scaled:prcp_scaled,-0.555362,tmean_scaled*prcpTempCorr_scaled,-0.37721,clay_scaled*AWHC_scaled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ (1 + exp(-(Intercept + Coefficient_1*Predictor_1 + … + Coefficient_n * Predictor_n)))
2,Probability of Treed (Continuous) ,2.95855938,4.07825014,prcp_scaled,-0.52045535,prcpTempCorr_scaled,0.23144659,isothermality_scaled,-0.24275565,clay_scaled,0.21184654,coarse_scaled,-0.53480691,AWHC_scaled,-0.00755381,tmean_scaled^2,-0.79109391,prcp_scaled^2,-0.94834744,prcpTempCorr_scaled^2,0.51546189,isothermality_scaled^2,-0.02641633,clay_scaled^2,-0.29985365,clay_scaled*AWHC_scaled,0.06369993,clay_scaled*coarse_scaled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ (1 + exp(-(Intercept + Coefficient_1*Predictor_1 + … + Coefficient_n * Predictor_n)))
3,Absolute total tree cover in forests,-0.14550162,0.39496901,pcrp_scaled,0.45402154,prcp_dry_scaled,-0.03774131,isothermality_scaled,-0.19073238,annWatDef_scaled,-0.03903345,sand_scaled,0.04925156,AWHC_scaled,-0.08067344,tmean_scaled^2,-0.04837998,isothermality_scaled*prcpTempCorr_scaled,-0.17399395,prcp_scaled*prcp_dry_scaled,0.15772349,prcp_dry_scaled*prcpTempCorr_scaled,-0.14900855,prcpTempCorr_scaled*tmean_scaled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ (1 + exp(-(Intercept + Coefficient_1*Predictor_1 + … + Coefficient_n * Predictor_n)))
4,Absolute total tree cover in non-forests,0.569984099,0.512504267,tmean_scaled,1.431187175,prcp_dry_scaled,-0.015606823,prcpTempCorr_scaled,0.085489658,isothermality_scaled,0.425617446,clay_scaled,0.193781017,coarse_scaled,-0.298904013,AWHC_scaled,0.102872246,tmean_scaled^2,-1.680676155,prcp_dry_scaled^2,-0.115506761,prcpTempCorr_scaled^2,0.213916301,isothermality_scaled^2,-0.105042771,clay_scaled^2,-0.064530064,coarse_scaled^2,0.004660803,AWHC_scaled^2,-0.316032668,prcpTempCorr_scaled*isothermality_scaled,-0.479569907,tmean_scaled*isothermality_scaled,0.423346264,tmean_scaled*prcpTempCorr_scaled,0.014904279,clay_scaled*AWHC_scaled,0.255267951,clay_scaled*coarse_scaled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ (1 + exp(-(Intercept + Coefficient_1*Predictor_1 + … + Coefficient_n * Predictor_n)))/10
5,Absolute total herbaceous cover,-0.719452,-0.31915,tmean_scaled,-0.705356,prcp_scaled,0.022533,prcpTempCorr_scaled,-0.130411,isothermality_scaled,1.050412,annWetDegDays_scaled,0.143228,clay_scaled,-0.180153,coarse_scaled,0.035944,AWHC_scaled,0.010502,prcpTempCorr_scaled,-0.019455,isothermality_anom_scaled,-0.054052,annWetDegDays_anom_scaled,-0.00901,tmean_scaled^2,0.163587,prcp_scaled^2,0.484859,prcpTempCorr_scaled^2,-0.127254,isothermality_scaled^2,-0.458708,annWetDegDays_scaled^2,-0.033515,prcpTempCorr_anom_scaled^2,-0.002478,isothermality_anom_scaled^2,-0.004285,annWetDegDays_anom_scaled^2,0.035408,clay_scaled^2,0.077844,coarse_scaled^2,-0.097524,AWHC_scaled^2,0.169889,isothermality_scaled*annWetDegDays_scaled,-0.11025,annWetDegDays_scaled*isothermality_anom_scaled,-0.053682,prcpTempCorr_scaled*annWetDegDays_scaled,0.0975,tmean_scaled*annWetDegDays_scaled,0.054327,isothermality_scaled*annWetDegDays_anom_scaled,0.005678,isothermality_anom_scaled*annWetDegDays_anom_scaled,-0.007385,prcpTempCorr_scaled*annWetDegDays_anom_scaled,-0.013277,prcpTempCorr_anom_scaled*annWetDegDays_anom_scaled,-0.011661,tmean_scaled*annWetDegDays_anom_scaled,-0.004478,isothermality_scaled*isothermality_anom,0.068478,prcpTempCorr_scaled*isothermality_scaled,-0.02397,isothermality_scaled*prcpTempCorr_anom_scaled,0.092974,tmean_scaled*isothermality_scaled,0.002868,prcp_scaled*isothermality_anom_scaled,0.000354,prcpTempCorr_scaled*isothermality_anom_scaled,0.004415,prcpTempCorr_anom_scaled*isothermality_anom_scaled,-0.005959,tmean_scaled*isothermality_anom_scaled,0.245366,prcp_scaled*prcpTempCorr_scaled,-0.013035,prcpTempCorr_scaled*prcpTempCorr_anom_scaled,-0.125006,tmean_scaled*prcpTempCorr_scaled,-0.055662,tmean_scaled*prcpTempCorr_anom_scaled,-0.05064,clay_scaled*AWHC_scaled,0.112549,clay_scaled*coarse_scaled,1/ (1 + exp(-(Intercept + Coefficient_1*Predictor_1 + … + Coefficient_n * Predictor_n)))
6,Absolute bare ground cover,-2.80472956,0.13655019,tmean_scaled,-0.60869166,prcp_scaled,0.38908061,isothermality_scaled,-1.07343551,annwetDegDays_scaled,-0.3189811,coarse_scaled,0.05583258,AWHC_scaled,-0.11323576,tmean_scaled^2,0.10614274,prcp_scaled^2,-0.20983375,prcpTempCorr_scaled^2,-0.10582749,isothermality_scaled^2,0.33306325,annWetDegDays_scaled^2,0.01635488,clay_scaled^2,0.0378314,coarse_scaled^2,0.06158049,isothermality_scaled*prcpTempCorr_scaled,-0.23786667,prcp_scaled*prcpTempCorr_scaled,0.15430669,tmean_scaled*prcpTempCorr_scaled,0.01812094,AWHC_scaled*clay_scaled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ (1 + exp(-(Intercept + Coefficient_1*Predictor_1 + … + Coefficient_n * Predictor_n)))
7,Absolute shrub cover,-1.279741325,0.197935,tmean_scaled,0.522922,prcp_scaled,-0.311611,prcpTempCorr_scaled,0.102231,isothermality_scaled,-0.304056,annWetDegDays_scaled,-0.135656,clay_scaled,0.151521,coarse_scaled,-0.010688,AWHC_scaled,0.015808,prcpTempCorr_anom_scaled,-0.002912,isothermality_anom_scaled,0.06618,tmean_scaled^2,0.021853,prcp_scaled^2,-0.16267,prcpTempCorr_scaled^2,-0.032946,isothermality_scaled^2,-0.226755,annWetDegDays_scaled^2,0.00236,prcpTempCorr_anom_scaled^2,0.008858,isothermality_anom_scaled^2,-0.001584,annWetDegDays_anom_scaled^2,-0.028803,clay_scaled^2,-0.10467,coarse_scaled^2,-0.063159,AWHC_scaled^2,0.101286,isothermality_scaled:annWetDegDays_scaled,-0.483245,prcpTempCorr_scaled:annWetDegDays_scaled,0.252681,tmean_scaled:annWetDegDays_scaled,-0.02043,isothermality_scaled:annWetDegDays_anom_scaled,-0.007637,prcpTempCorr_scaled:annWetDegDays_anom_scaled,-0.00515,prcpTempCorr_anom_scaled:annWetDegDays_anom_scaled,-0.001713,tmean_scaled:annWetDegDays_anom_scaled,-0.059749,isothermality_scaled:isothermality_anom_scaled,-0.074051,prcpTempCorr_scaled:isothermality_scaled,0.052798,isothermality_scaled:prcpTempCorr_anom_scaled,0.02466,tmean_scaled:isothermality_scaled,0.016922,prcp_scaled:isothermality_anom_scaled,-0.003098,prcpTempCorr_scaled:isothermality_anom_scaled,-0.00349,prcpTempCorr_anom_scaled:isothermality_anom_scaled,0.074715,tmean_scaled:isothermality_anom_scaled,0.265356,prcp_scaled:prcpTempCorr_scaled,0.015993,prcpTempCorr_scaled:prcpTempCorr_anom_scaled,0.248428,tmean_scaled:prcpTempCorr_scaled,-0.020805,tmean_scaled:prcpTempCorr_anom_scaled,-0.052693,clay_scaled:AWHC_scaled,-0.063106,coarse_scaled:AWHC_scaled,-0.088592,clay_scaled:coarse_scaled,,,,,1/ (1 + exp(-(Intercept + Coefficient_1*Predictor_1 + … + Coefficient_n * Predictor_n)))
8,proportion of absolute total tree cover that is needle-leaved trees,0.74290667,-0.270903,tmean_scaled,0.357983,prcp_scaled,0.163638,isothermality_scaled,-2.084986,annWetDegDays_scaled,-0.723886,clay_scaled,-0.500158,coarse_scaled,-0.442913,AWHC_scaled,-0.886477,tmean_scaled^2,0.119151,clay_scaled^2,0.083214,AWHC_scaled^2,0.395728,isothermality_scaled:annWetDegDays_scaled,-0.570141,annWetDegDays_scaled:prcpTempCorr_scaled,1.396206,tmean_scaled:annWetDegDays_scaled,0.06897,isothermality_scaled:prcpTempCorr_scaled,-0.168779,tmean:isothermality_scaled,-0.68945,clay_scaled:AWHC_scaled,-0.744355,clay_scaled:coarse_scaled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ (1 + exp(-(Intercept + Coefficient_1*Predictor_1 + … + Coefficient_n * Predictor_n)))
9,proportion of absolute total tree cover that is broad-leaved trees,-0.74286193,0.270764,tmean_scaled,-0.358056,prcp_scaled,-0.163568,isothermality_scaled,2.08524,annWetDegDays_scaled,0.723989,clay_scaled,0.500114,coarse_scaled,0.442747,AWHC_scaled,0.886614,tmean_scaled^2,-0.119152,clay_scaled^2,-0.083404,AWHC_scaled^2,-0.395493,isothermality_scaled:annWetDegDays_scaled,0.570506,annWetDegDays_scaled:prcpTempCorr_scaled,-1.396591,tmean_scaled:annWetDegDays_scaled,-0.068986,isothermality_scaled:prcpTempCorr_scaled,0.168726,tmean_scaled:isothermality_scaled,0.689577,clay_scaled:AWHC_scaled,0.744344,clay_scaled:coarse_scaled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ (1 + exp(-(Intercept + Coefficient_1*Predictor_1 + … + Coefficient_n * Predictor_n)))
10,proportion of absolute total herbaceous cover that is forbs,-0.22612088,-0.224966,tmean_scaled,0.883053,prcp_scaled,-0.092086,prcpTempCorr_scaled,-0.029132,isothermality_scaled,-0.126566,clay_scaled,0.077354,coarse_scaled,0.04898,AWHC_scaled,0.131537,tmean_scaled^2,-0.144624,prcpTempCorr_scaled^2,0.011126,isothermality_anom_scaled^2),0.011739,annWetDegDays_anom_scaled^2,0.028317,clay_scaled^2,-0.592374,tmean_scaled:annWetDegDays_scaled,-0.018847,prcpTempCorr_scaled:annWetDegDays_anom_scaled,0.018607,annWetDegDays_anom_scaled:prcpTempCorr_anom_scaled,0.019475,isothermality_scaled:isothermality_anom_scaled,0.102933,prcp_scaled:isothermality_scaled,-0.061474,prcpTempCorr_scaled:isothermality_scaled,0.036558,isothermality_scaled:prcpTempCorr_anom_scaled,0.165013,tmean_scaled:isothermality_scaled,0.011609,prcp_scaled:isothermality_anom_scaled,0.02634,prcpTempCorr_scaled:isothermality_anom_scaled,-0.02465,tmean_scaled:isothermality_anom_scaled,0.059039,tmean_scaled:prcp_scaled,0.122209,tmean_scaled:prcpTempCorr_scaled,0.098418,clay_scaled:AWHC_scaled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ (1 + exp(-(Intercept + Coefficient_1*Predictor_1 + … + Coefficient_n * Predictor_n)))
