VariableName,VariableType,Definition,Units,CenteringFactor,ScalingFactor,FinalEquationForScaledVariable_((variable-centering factor)/scaling factor),
tmin,Climate,"Average annual minimum daily temperature in degrees C, averaged across previous 20-30 years (only used fewer than 30 years of data when the focal year was before 2011)",degrees Celsius,4.012205904,5.199543717,(tmin-4.01220590403907)/5.1995437166117,
tmax,Climate,"Average annual maximum daily temperature in degrees C, averaged across previous  20-30 years (only used fewer than 30 years of data when the focal year was before 2011)",degrees Celsius,17.7315706,5.487252436,(tmax-17.731570603564)/5.48725243552793,
tmean,Climate,"Average annual mean daily temperature in degrees C, averaged across previous  20-30 years (only used fewer than 30 years of data when the focal year was before 2011)",degrees Celsius,10.6678425,5.148230788,(tmean-10.6678425010975)/5.14823078798401,
prcp,Climate,"total annual daily precip in mm, averaged across previous  20-30 years (only used fewer than 30 years of data when the focal year was before 2011)",mm,767.9490062,506.4536211,(prcp-767.949006231967)/506.453621113659,
t_warm,Climate,"mean daily maximum temperature in the warmest month in degrees C, averaged across previous 20-30 years (only used fewer than 30 years of data when the focal year was before 2011)",degrees Celsius,30.44992725,4.347680441,(t_warm-30.449927252474)/4.34768044061233,
t_cold,Climate,"mean daily minimum temperature in the coldest month in degrees C, averaged across previous  20-30 years (only used fewer than 30 years of data when the focal year was before 2011)",degrees Celsius,-7.525833844,6.469794966,(t_cold--7.52583384396498)/6.4697949661988,
prcp_wet,Climate,"total precipitation in the wettest month in mm, averaged across previous  20-30 years (only used fewer than 30 years of data when the focal year was before 2011)",mm,159.8236534,93.07952317,(prcp_wet-159.823653418625)/93.0795231679706,
prcp_dry,Climate,"total precipitation in the driest month in mm, averaged across previous  20-30 years (only used fewer than 30 years of data when the focal year was before 2011)",mm,11.25809212,14.03897905,(prcp_dry-11.2580921180781)/14.0389790533078,
prcp_seasonality,Climate,"the seasonality of precipitation within a year (standard deviation(monthly precipitation)/mean(monthly precipitation)), averaged across previous 20-30 years (only used fewer than 30 years of data when the focal year was before 2011)",mm,0.831775985,0.271176108,(prcp_seasonality-0.831775984872176)/0.271176108313752,
prcpTempCorr,Climate,"Correlation of monthly precipitation and temperature in a year, averaged across previous  20-30 years (only used fewer than 30 years of data when the focal year was before 2011)",correlation,-0.020079523,0.406773335,(prcpTempCorr--0.0200795234571162)/0.406773334976936,
abvFreezingMonth,Climate,"The integer index (from 1-12) of the first month in a year when the daily low temperature is above 0 degrees C,  averaged over the previous 20-30 years (only used fewer than 30 years of data when the focal year was before 2011)",numerical monthly,3.580578169,1.489953702,(abvFreezingMonth-3.58057816913459)/1.48995370202883,
isothermality,Climate,"Annual isothermality (mean(monthly max temps - monthly min temps)/(maximum monthly temperature across year-minimum monthly temperature across year) * 100) , averaged over the previous 20-30 years (only used fewer than 30 years of data when the focal year was before 2011)",isothermal ratio,36.51862827,5.414023754,(isothermality-36.518628273532)/5.41402375388168,
